token	freq_train	freq_val	freq_test	freq_all
.	23912	2679	1042	27633
,	16021	1859	482	18362
nya	13474	1566	327	15367
yang	9337	1049	251	10637
dan	7894	858	140	8892
di	7718	855	189	8762
tidak	4399	467	271	5137
saya	4309	418	172	4899
dengan	4025	440	86	4551
makanan	3563	387	11	3961
ini	3540	400	99	4039
tempat	3540	406	22	3968
enak	3525	376	40	3941
untuk	3295	374	57	3726
makan	2826	322	15	3163
juga	2563	279	72	2914
ke	2382	261	59	2702
ada	2294	278	104	2676
sangat	2042	206	63	2311
harga	1977	213	28	2218
dari	1958	189	61	2208
sini	1892	223	15	2130
bandung	1723	165	9	1897
menu	1689	167	3	1859
karena	1549	201	48	1798
banyak	1547	176	45	1768
cukup	1538	197	4	1739
banget	1499	174	111	1784
bisa	1498	163	81	1742
tapi	1403	166	40	1609
kalau	1366	176	72	1614
sudah	1332	138	128	1598
saja	1297	160	54	1511
restoran	1274	117	8	1399
rasa	1232	144	8	1384
itu	1216	163	121	1500
kami	1102	135	33	1270
rasanya	1086	107	12	1205
jadi	1084	121	33	1238
!	1041	130	61	1232
suasana	988	83	2	1073
nyaman	934	98	10	1042
buat	917	109	35	1061
malam	917	98	3	1018
sekali	862	92	25	979
adalah	859	89	22	970
pelayanan	856	84	67	1007
ayam	843	102	7	952
kita	842	106	24	972
goreng	839	106	4	949
-	812	89	44	945
pemandangan	807	79	0	886
bagus	802	84	14	900
jalan	802	99	4	905
sama	799	112	103	1014
nasi	796	108	3	907
suka	783	100	91	974
seperti	781	92	20	893
lebih	776	77	33	886
lagi	757	92	60	909
datang	751	62	6	819
orang	733	77	39	849
mahal	725	79	7	811
satu	714	80	20	814
atau	703	84	18	805
ya	676	78	42	796
lumayan	663	88	5	756
hanya	651	81	8	740
:	644	67	7	718
pilihan	638	82	10	730
keluarga	629	73	5	707
cocok	629	72	6	707
biasa	627	76	10	713
saat	621	56	19	696
kota	620	69	3	692
pas	608	58	11	677
lokasi	608	75	1	684
sampai	603	66	35	704
hari	597	84	28	709
resto	595	79	0	674
mau	594	86	36	716
memang	593	62	16	671
pun	582	63	15	660
terlalu	580	48	5	633
masih	573	60	13	646
baik	553	56	20	629
harus	550	63	31	644
pada	538	60	10	608
sih	533	60	42	635
pesan	532	44	22	598
porsi	528	50	0	578
dalam	522	54	23	599
salah	521	65	13	599
?	519	70	25	614
agak	517	49	5	571
kurang	515	63	5	583
steak	515	52	0	567
tetapi	481	48	25	554
semua	477	63	18	558
akan	474	51	19	544
sunda	473	65	1	539
selalu	471	49	31	551
anda	470	52	6	528
minuman	467	64	3	534
khas	461	59	0	520
kali	452	39	13	504
indonesia	446	42	54	542
luar	443	53	10	506
kafe	440	47	0	487
masakan	439	58	0	497
tahu	437	46	14	497
besar	437	56	4	497
murah	429	46	12	487
dapat	426	45	25	496
mi	425	45	9	479
teman	424	51	3	478
namun	424	51	3	478
2	419	54	16	489
bersama	419	43	7	469
paling	413	51	30	494
lama	413	51	11	475
rumah	412	58	6	476
waktu	404	42	15	461
oke	402	41	6	449
beberapa	400	35	3	438
bakso	392	31	1	424
favorit	385	48	3	436
lain	385	48	19	452
/	385	31	10	426
ramah	381	32	5	418
sana	380	48	11	439
deh	379	56	24	459
ramai	379	38	0	417
baru	378	41	26	445
menikmati	375	49	0	424
jam	372	36	13	421
ingin	370	44	9	423
dulu	368	46	10	424
terjangkau	367	43	4	414
siang	365	39	3	407
bakar	364	35	2	401
mantap	362	43	27	432
atas	361	44	14	419
jangan	361	46	14	421
begitu	357	47	14	418
sambal	355	44	2	401
membuat	355	30	2	387
daging	354	45	0	399
jika	345	51	3	399
bikin	342	35	21	398
coba	342	32	5	379
setelah	340	42	11	393
luas	339	42	0	381
masuk	337	43	7	387
1	337	33	8	378
apa	336	36	24	396
cepat	330	25	14	369
aku	330	32	54	416
anak	327	39	9	375
memesan	325	34	5	364
jokowi	324	55	15	394
mereka	320	37	11	368
pasti	316	35	12	363
pedas	316	27	3	346
selain	315	36	10	361
pernah	313	32	23	368
cuma	312	37	27	376
mencoba	312	40	6	358
kecil	312	35	0	347
batagor	312	43	0	355
sehingga	311	28	2	341
pakai	309	38	31	378
tahun	301	29	15	345
menjadi	299	30	2	331
menurut	297	47	12	356
sesuai	296	26	8	330
pertama	294	19	13	326
ternyata	293	44	7	344
kopi	292	23	7	322
unik	292	32	1	325
sekarang	288	36	35	359
dekat	286	36	1	323
ikan	284	31	0	315
parkir	279	32	0	311
segar	278	34	4	316
oleh	278	34	5	317
bukan	278	43	18	339
disajikan	277	24	0	301
berada	277	27	1	305
indah	277	25	3	305
pelayan	274	17	1	292
rekomendasi	273	23	5	301
bagi	272	33	2	307
sate	270	27	1	298
lainnya	268	24	3	295
melihat	267	37	10	314
hotel	265	36	37	338
dicoba	265	32	1	298
sejuk	264	21	3	288
langsung	260	41	14	315
standar	259	19	2	280
duduk	259	35	0	294
ketika	256	32	2	290
berbagai	252	22	4	278
pak	251	38	19	308
meja	250	23	2	275
apalagi	249	30	4	283
the	248	30	1	279
mungkin	247	30	2	279
terletak	246	26	0	272
bumbu	243	27	1	271
jauh	240	28	5	273
sayang	240	24	4	268
tersedia	239	30	1	270
pengunjung	236	23	0	259
romantis	236	18	0	254
beli	235	37	27	299
sendiri	233	27	9	269
lalu	233	23	8	264
sedikit	232	27	0	259
kok	232	18	6	256
menunggu	230	19	1	250
belum	230	25	31	286
terus	229	26	20	275
udara	227	23	0	250
barat	226	34	3	263
dago	225	34	1	260
menarik	224	23	2	249
manis	224	29	4	257
bersih	221	20	8	249
dia	221	29	37	287
mulai	221	21	2	244
tetap	221	19	12	252
ribu	221	25	9	255
es	221	17	2	240
area	219	20	0	239
beragam	219	16	2	237
sambil	218	34	1	253
daun	216	28	0	244
sebagai	213	27	8	248
setiap	212	19	5	236
nongkrong	209	22	2	233
dingin	206	19	1	226
jakarta	205	19	11	235
secara	203	30	4	237
kampung	203	28	5	236
sekitar	203	17	2	222
tak	202	35	3	240
berkunjung	202	8	0	210
ku	201	23	11	235
daerah	201	22	1	224
memilih	199	26	7	232
sedang	197	20	3	220
terkenal	195	15	0	210
merupakan	194	21	1	216
nama	194	24	10	228
warung	192	18	2	212
serta	190	17	3	210
terasa	189	26	0	215
mampir	189	24	0	213
memiliki	188	12	2	202
3	188	25	5	218
pilih	187	24	5	216
macam	186	21	3	210
strategis	186	20	0	206
ditambah	186	19	3	208
lezat	186	26	0	212
minum	185	16	6	207
kecewa	185	20	80	285
air	185	20	12	217
penuh	184	28	2	214
braga	184	22	0	206
zaman	181	24	5	210
kasih	181	25	35	241
kuah	180	28	2	210
sering	180	31	3	214
pizza	179	11	1	191
kamu	179	30	13	222
kualitas	179	18	8	205
roti	175	12	0	187
buka	174	16	6	196
konsep	173	27	2	202
kuliner	172	14	3	189
teman-teman	172	20	1	193
lantai	170	18	0	188
walaupun	169	19	2	190
nikmat	168	19	1	188
presiden	168	25	13	206
mencari	168	12	2	182
terutama	166	13	3	182
pasangan	166	19	0	185
benar-benar	165	19	3	187
sejak	165	14	2	181
mana	164	27	9	200
menyenangkan	163	12	5	180
marah	163	19	0	182
kalian	162	13	9	184
gue	162	27	91	280
awal	161	16	2	179
lengkap	160	28	9	197
perlu	159	21	3	183
terima	159	23	31	213
teh	159	15	4	178
akhirnya	158	22	2	182
mal	158	9	4	171
lidah	158	16	1	175
punya	157	20	10	187
mengecewakan	157	16	10	183
menyediakan	155	20	0	175
depan	154	18	12	184
terdapat	152	15	2	169
keren	152	22	12	186
indosat	151	16	1	168
malah	150	20	18	188
jenis	150	15	3	168
menyesal	149	14	8	171
gurih	149	18	1	168
menyajikan	148	15	0	163
sore	148	16	3	167
tengah	148	20	1	169
mudah	148	21	8	177
demokrat	147	14	0	161
senang	147	11	8	166
keju	147	17	1	165
bubur	147	24	1	172
kemarin	146	12	11	169
babi	146	20	0	166
pagi	146	11	6	163
para	146	5	5	156
lupa	146	16	3	165
wajib	144	14	1	159
jawa	144	28	5	177
partai	144	8	3	155
lembang	144	8	0	152
ditawarkan	143	9	0	152
paket	143	12	2	157
susah	142	21	2	165
minggu	142	14	2	158
soal	141	16	6	163
saus	141	13	0	154
rakyat	140	13	15	168
kayak	137	19	24	180
pokok	137	18	4	159
kambing	137	5	0	142
hidangan	136	19	0	155
pesanan	136	11	4	151
saung	136	13	0	149
nih	133	16	4	153
asik	132	13	7	152
kue	132	15	0	147
alam	131	13	1	145
padahal	131	15	18	164
10	131	10	3	144
direkomendasikan	131	16	4	151
mie	131	16	2	149
berbeda	131	10	3	144
kembali	130	17	7	154
terbaik	130	9	15	154
dua	129	16	10	155
maka	129	22	5	156
selera	129	16	1	146
empuk	129	14	0	143
islam	128	15	0	143
asin	128	18	0	146
hampir	128	13	8	149
ala	128	15	0	143
agama	128	17	5	150
anak-anak	128	13	1	142
si	128	17	5	150
bosan	126	15	1	142
maupun	126	11	3	140
tradisional	125	18	2	145
kan	125	19	4	148
cabang	124	9	3	136
hingga	124	16	2	142
kepiting	124	11	0	135
letak	124	13	0	137
interior	123	18	1	142
isi	123	12	4	139
semuanya	123	12	2	137
terlihat	123	10	2	135
kata	122	22	10	154
benar	122	22	7	151
sebenarnya	122	17	8	147
tepat	120	14	1	135
macet	120	12	1	133
tanpa	120	23	4	147
termasuk	120	3	2	125
puas	120	12	5	137
udang	120	8	0	128
bebek	119	11	0	130
boleh	119	14	3	136
biasanya	118	8	3	129
prabowo	118	15	6	139
memuaskan	118	14	11	143
aneka	118	17	1	136
beda	118	9	7	134
bayar	118	10	6	134
cari	117	9	6	132
umum	117	16	1	134
4	116	14	2	132
istimewa	116	7	0	123
bakmi	116	10	0	126
stroberi	116	8	1	125
musik	116	10	4	130
variasi	116	14	0	130
pasta	116	4	0	120
mengunjungi	116	9	0	125
relatif	116	17	0	133
fpi	115	20	0	135
keseluruhan	115	15	1	131
habis	115	9	5	129
top	115	12	3	130
ukuran	114	16	0	130
spesial	114	9	2	125
makin	114	15	15	144
pusat	113	13	8	134
menggunakan	113	10	6	129
bervariasi	113	13	0	126
cina	113	6	0	119
barang	113	18	7	138
akhir	112	15	1	128
otak	112	14	5	131
ruangan	112	18	0	130
bahkan	112	7	5	124
sapi	111	16	0	127
kenapa	111	20	18	149
panas	111	16	3	130
live	111	6	1	118
tinggi	110	11	0	121
menuju	110	13	1	124
rp	109	14	4	127
naik	109	17	8	134
bagaimana	109	8	7	124
desain	108	14	6	128
yaitu	107	11	0	118
utama	106	10	1	117
kerja	106	18	9	133
santai	106	11	2	119
piring	106	12	0	118
muda	106	5	3	114
sebelum	106	12	2	120
juara	105	15	2	122
bulan	105	9	7	121
produk	104	10	9	123
negara	104	11	8	123
order	103	7	3	113
indomie	103	16	14	133
sarapan	103	6	3	112
acara	102	9	4	115
mobil	102	11	1	114
sop	102	16	0	118
kotor	101	11	4	116
asli	101	13	4	118
bareng	101	9	1	111
disediakan	99	11	2	112
lanjutan	99	7	0	106
dahulu	99	10	0	109
ringan	99	12	0	111
enak-enak	97	12	2	111
chicken	97	18	0	115
mata	96	7	7	110
lo	96	15	3	114
penyajian	96	7	0	103
bambu	96	14	0	110
pulang	96	8	0	104
mahasiswa	95	18	0	113
menginap	95	15	4	114
bagian	95	7	1	103
biar	95	7	5	107
pisang	95	9	0	104
per	94	9	1	104
kebanyakan	94	10	0	104
kebetulan	94	15	0	109
kursi	94	9	0	103
5	93	14	11	118
bawah	93	13	2	108
sayur	93	16	0	109
liburan	93	11	2	106
meskipun	92	14	0	106
sulit	92	7	0	99
kantong	92	7	0	99
cara	91	11	8	110
plus	91	18	2	111
khusus	91	9	6	106
jelas	91	8	9	108
menambah	91	8	1	100
tersebut	91	13	1	105
main	90	8	5	103
wisata	90	12	2	104
hal	90	7	4	101
bila	90	5	3	98
padang	90	13	1	104
sepertinya	90	11	2	103
kalah	89	11	3	103
2018	89	10	14	113
hujan	89	12	1	102
dasar	89	21	0	110
ketagihan	89	9	4	102
merasa	89	6	13	108
pergi	88	12	2	102
hati	88	11	4	103
minta	88	11	7	106
anies	88	9	8	105
bahwa	88	7	5	100
diri	88	7	4	99
gurame	88	24	0	112
lampu	87	14	0	101
super	87	6	4	97
dong	87	10	5	102
anjing	87	9	0	96
hangat	87	6	2	95
suara	86	10	8	104
tea	86	3	1	90
cita	86	9	0	95
variatif	86	12	0	98
semakin	86	6	3	95
jus	86	11	0	97
liwet	85	15	0	100
sungguh	85	11	3	99
lu	85	6	3	94
asri	84	6	1	91
gua	84	3	7	94
ramen	84	6	0	90
menit	84	7	1	92
pelanggan	84	10	28	122
cinta	84	12	6	102
bawa	83	22	3	108
kaki	83	9	2	94
bapak	83	21	8	112
uang	83	3	23	109
berasa	82	4	0	86
dikunjungi	82	8	2	92
tinggal	82	16	4	102
iga	82	10	2	94
jelek	82	7	7	96
pilkada	81	11	0	92
tambahan	81	9	2	92
foto	81	11	2	94
kesal	81	8	3	92
jepang	81	8	2	91
tenang	81	6	2	89
sempit	81	9	1	91
toko	81	4	4	89
daripada	80	9	4	93
kacang	80	7	1	88
daftar	80	5	1	86
antara	80	7	8	95
kenyang	80	4	0	84
bilang	80	11	4	95
agar	80	8	2	90
hijau	80	5	3	88
tua	79	9	1	89
minimal	79	8	1	88
mendapatkan	79	8	0	87
seafood	79	9	0	88
ulang	79	9	1	89
penasaran	79	8	0	87
tiap	79	6	6	91
antre	78	7	0	85
sekeluarga	78	8	0	86
gubernur	78	9	4	91
begini	78	9	1	88
layanan	78	14	5	97
berkumpul	77	12	0	89
an	77	2	3	82
pdip	77	9	0	86
pinggir	77	10	0	87
dah	77	10	4	91
politik	77	6	7	90
bermain	77	8	1	86
30	76	8	0	84
pekan	76	11	1	88
lihat	76	9	4	89
masa	76	10	5	91
kau	76	5	0	81
pula	76	13	3	92
krim	75	5	0	80
belanja	75	5	7	87
hasil	75	8	2	85
selama	75	1	9	85
buntut	74	10	1	85
enggak	74	7	14	95
walau	74	8	1	83
pangsit	74	6	1	81
cantik	74	7	1	82
perut	74	10	1	85
mbak	74	11	1	86
masalah	74	17	10	101
kepada	74	12	7	93
pasar	74	8	2	84
kedai	73	6	1	80
menawarkan	73	9	0	82
diberikan	73	6	0	79
panjang	72	15	0	87
membawa	72	13	1	86
tunggu	72	13	2	87
buah	72	5	6	83
lembut	72	13	1	86
tolong	72	7	4	83
putih	72	8	0	80
bersantai	72	8	0	80
tamu	72	10	1	83
hehe	72	6	0	78
telur	71	6	2	79
%	71	6	6	83
dusun	70	9	0	79
menemukan	70	9	1	80
dll	70	7	1	78
bakal	70	8	12	90
sederhana	70	6	1	77
sajian	69	7	0	76
betah	69	12	0	81
kantor	69	9	4	82
sebuah	69	6	2	77
rica	68	3	0	71
pribadi	68	7	3	78
dibilang	68	7	4	79
kartu	68	7	9	84
nanti	67	9	5	81
arah	67	7	0	74
penutup	67	3	0	70
layak	67	6	2	75
kangkung	67	8	0	75
penggemar	67	7	3	77
bingung	67	6	1	74
keluar	67	8	2	77
merah	67	10	1	78
dpr	67	2	0	69
warga	67	7	3	77
lapar	67	16	2	85
kadang	66	9	6	81
berat	66	9	3	78
wifi	66	10	1	77
beef	66	5	0	71
staf	66	13	4	83
kfc	66	11	5	82
perjalanan	66	12	0	78
sebanding	66	4	1	71
belakang	66	7	2	75
sempat	66	3	2	71
gratis	65	13	9	87
ataupun	65	7	1	73
kolam	65	7	2	74
taman	65	15	0	80
ahok	65	13	4	82
sepi	65	4	0	69
asyik	65	5	1	71
mati	65	8	0	73
lewat	65	17	4	86
aneh	64	8	3	75
pecinta	64	2	1	67
dimakan	64	10	2	76
bangunan	64	15	0	79
dijadikan	63	2	0	65
orang-orang	63	14	4	81
sebaiknya	63	5	0	68
patut	63	6	1	70
terakhir	63	5	1	69
to	63	8	2	73
andalan	63	4	0	67
dibuat	63	3	2	68
nuansa	63	7	0	70
ibu	62	10	3	75
20	62	9	3	74
wangi	62	3	0	65
coklat	62	10	0	72
parah	61	7	4	72
kemudian	61	6	1	68
sby	61	15	0	76
eh	61	7	1	69
foto-foto	61	6	0	67
nomor	61	4	6	71
hidup	61	1	4	66
jual	61	3	2	66
semoga	60	11	15	86
gila	60	14	5	79
lauk	60	9	0	69
dibanding	60	6	2	68
lokal	60	4	2	66
sebelah	60	8	2	70
telah	60	4	7	71
iya	60	8	8	76
sushi	60	9	0	69
memberikan	60	6	9	75
rata-rata	60	11	0	71
berubah	60	6	0	66
lain-lain	60	10	0	70
dijangkau	60	9	0	69
kawasan	60	5	0	65
menjual	59	9	0	68
sebelumnya	59	8	5	72
wow	59	5	2	66
oleh-oleh	59	4	0	63
film	59	7	5	71
sekadar	59	8	4	71
ruang	59	6	0	65
siomay	59	15	0	74
jatuh	59	5	1	65
kpk	59	1	6	66
mas	59	7	3	69
kayu	58	10	0	68
usah	58	10	9	77
mulut	58	3	3	64
kumpul	58	7	0	65
varian	58	4	2	64
bali	58	2	4	64
hitam	58	12	0	70
ketua	58	5	2	65
dijamin	58	2	0	60
riau	58	8	0	66
gede	58	4	2	64
suami	58	7	0	65
menteri	57	14	1	72
say	57	7	0	64
kedua	57	6	2	65
;	57	9	1	67
balik	57	6	5	68
valley	57	8	0	65
s	57	6	1	64
goblok	57	5	0	62
gedung	57	2	0	59
food	57	4	0	61
apabila	57	7	1	65
parkiran	57	6	0	63
bersahabat	57	2	0	59
eropa	57	5	3	65
istri	57	6	1	64
ambil	57	6	1	64
dipesan	56	4	1	61
kunjungan	56	3	3	62
sup	56	6	0	62
tanggal	56	5	7	68
fasilitas	56	4	7	67
tim	56	2	5	63
sambel	56	8	0	64
suki	56	6	0	62
mu	55	6	2	63
akses	55	7	1	63
level	54	8	0	62
beliau	54	2	3	59
lalapan	54	8	0	62
dekorasi	54	9	0	63
saji	53	2	0	55
kesan	53	3	2	58
gelas	53	7	1	61
seorang	53	4	2	59
pengalaman	53	8	3	64
peak	53	11	0	64
setengah	53	7	0	60
campur	53	5	1	59
pantas	53	5	3	61
ridwan	53	5	0	58
malang	53	7	1	61
sawah	53	4	0	57
soto	53	6	2	61
tenderloin	53	7	0	60
berdua	52	12	0	64
loh	52	8	1	61
melalui	52	1	5	58
bangsa	52	5	2	59
bank	52	15	10	77
6	52	4	3	59
masak	52	6	0	58
berupa	52	0	0	52
bu	52	6	8	66
asam	52	12	0	64
kamil	52	5	0	57
burger	52	7	0	59
2019	51	11	4	66
meski	51	12	0	63
berkualitas	51	4	2	57
sayuran	51	5	0	56
pki	51	6	0	57
reservasi	51	9	1	61
telkomsel	51	1	0	52
dibandingkan	51	11	2	64
siap	51	7	1	59
situ	51	11	0	62
digoreng	51	6	0	57
pemerintah	51	4	1	56
sengaja	51	10	0	61
adem	50	8	1	59
telepon	50	2	11	63
tempo	50	6	0	56
terkesan	50	2	0	52
halal	50	9	0	59
membeli	50	9	2	61
bersantap	50	10	0	60
bau	50	12	0	62
tempe	50	12	1	63
doang	50	9	3	62
sari	50	4	0	54
anggota	50	5	1	56
lesehan	50	8	0	58
raya	50	4	3	57
hehehe	50	6	2	58
kentang	50	7	1	58
trans	50	6	0	56
siapa	50	7	1	58
terjun	49	5	0	54
menyukai	49	6	0	55
sungai	49	6	0	55
tadi	49	3	7	59
kendaraan	49	13	0	62
naripan	49	7	1	57
100	49	4	2	55
sedap	49	3	0	52
hutan	49	5	0	54
kosong	49	7	1	57
dijual	49	9	1	59
tentunya	49	8	1	58
soup	49	2	0	51
baswedan	49	3	2	54
tiket	49	6	47	102
takut	49	6	2	57
mending	49	6	9	64
merokok	49	10	0	59
payah	49	7	2	58
untung	49	8	3	60
salmon	48	3	0	51
saos	48	4	1	53
dikasih	48	4	11	63
buruk	48	6	3	57
tiba	48	7	1	56
amat	48	9	2	59
gaya	48	6	0	54
kondisi	48	4	0	52
gojek	48	2	1	51
kering	48	6	0	54
berlokasi	47	2	0	49
ampera	47	5	1	53
tergolong	47	3	0	50
belanda	47	9	0	56
jajanan	47	4	1	52
hot	47	3	1	51
kuliah	47	5	1	53
kangen	47	3	2	52
keras	47	8	0	55
pintu	47	2	0	49
cenderung	47	4	0	51
manusia	46	6	2	54
kingsley	46	3	0	49
macam-macam	46	3	0	49
pertemuan	46	6	0	52
8	46	3	5	54
gerindra	46	6	0	52
masyarakat	46	10	4	60
mencicipi	46	2	0	48
alasan	46	5	7	58
aja	46	3	4	53
lima	46	6	4	56
d	46	8	1	55
lotek	46	6	0	52
yamin	46	3	0	49
melakukan	46	8	9	63
mendukung	46	1	4	51
promo	46	3	14	63
menjadikan	46	3	1	50
alas	45	5	0	50
pks	45	4	2	51
menang	45	5	3	53
penting	45	8	5	58
mengobrol	45	3	0	48
umat	45	8	1	54
kental	45	7	1	53
selamat	45	4	7	56
segala	45	8	0	53
kecap	45	7	0	52
bakmoy	45	5	0	50
sampah	45	9	5	59
nilai	45	2	3	50
muslim	45	5	1	51
papua	45	6	3	54
nyobain	45	18	2	65
potongan	44	10	0	54
ice	44	3	0	47
pemimpin	44	7	7	58
tutup	44	4	4	52
dinikmati	44	5	0	49
disarankan	44	6	1	51
alternatif	44	5	0	49
ngobrol	44	8	2	54
danau	44	9	1	54
warna	44	3	3	50
berani	44	8	0	52
pulsa	44	9	6	59
mah	44	7	4	55
negeri	44	7	3	54
7	44	3	4	51
mohon	43	4	2	49
permai	43	6	0	49
butuh	43	3	3	49
handphone	43	3	5	51
mengenyangkan	43	5	0	48
ditemukan	43	8	0	51
padma	43	6	0	49
cabe	43	6	1	50
